trial_type,arrow_1,arrow_2,corrAns,jitter,run_end_fixation,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,randomized TrialOrder,key_response.keys,key_response.corr,key_response.rt,trial_t.routineEndVal,ss_delay,iti_duration,SOA,participant,prac_or_scan,handedness,run,date,expName,psychopyVersion,frameRate,Unnamed: 26,Unnamed: 8
go,sst_images/Left_Arrow.bmp,None,1,713.0,None,0.0,0.0,0.0,0.0,2.0,1,1.0,0.6959923949980293,go,0.05,0.713,1.713,1.0,Scanner,R,1.0,2019_Sep_06_1045,SST,3.0.7,60.03689807657106,,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,767.0,None,0.0,1.0,1.0,1.0,,None,1.0,,stop,0.1,0.767,1.767,1.0,Scanner,R,1.0,2019_Sep_06_1045,SST,3.0.7,60.03689807657106,,
go,sst_images/Right_Arrow.bmp,None,2,928.0,None,0.0,2.0,2.0,2.0,,2,1.0,0.3867304910017992,go,0.1,0.9279999999999999,1.9280000000000002,1.0,Scanner,R,1.0,2019_Sep_06_1045,SST,3.0.7,60.03689807657106,,
go,sst_images/Right_Arrow.bmp,None,2,735.0,None,0.0,3.0,3.0,3.0,,2,1.0,0.4543734319995565,go,0.1,0.735,1.735,1.0,Scanner,R,1.0,2019_Sep_06_1045,SST,3.0.7,60.03689807657106,,
go,sst_images/Left_Arrow.bmp,None,1,1380.0,None,0.0,4.0,4.0,4.0,,1,1.0,0.4679936829998042,go,0.1,1.38,2.38,1.0,Scanner,R,1.0,2019_Sep_06_1045,SST,3.0.7,60.03689807657106,,
go,sst_images/Left_Arrow.bmp,None,1,769.0,None,0.0,5.0,5.0,5.0,,1,1.0,0.5210780400011572,go,0.1,0.769,1.769,1.0,Scanner,R,1.0,2019_Sep_06_1045,SST,3.0.7,60.03689807657106,,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,884.0,None,0.0,6.0,6.0,6.0,,None,1.0,,stop,0.15000000000000002,0.884,1.884,1.0,Scanner,R,1.0,2019_Sep_06_1045,SST,3.0.7,60.03689807657106,,
go,sst_images/Right_Arrow.bmp,None,2,732.0,None,0.0,7.0,7.0,7.0,,2,1.0,0.43786190999890096,go,0.15000000000000002,0.732,1.732,1.0,Scanner,R,1.0,2019_Sep_06_1045,SST,3.0.7,60.03689807657106,,
go,sst_images/Left_Arrow.bmp,None,1,847.0,None,0.0,8.0,8.0,8.0,,1,1.0,0.5036571630007529,go,0.15000000000000002,0.847,1.847,1.0,Scanner,R,1.0,2019_Sep_06_1045,SST,3.0.7,60.03689807657106,,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,1278.0,None,0.0,9.0,9.0,9.0,,None,1.0,,stop,0.2,1.278,2.278,1.0,Scanner,R,1.0,2019_Sep_06_1045,SST,3.0.7,60.03689807657106,,
go,sst_images/Right_Arrow.bmp,None,2,701.0,None,0.0,10.0,10.0,10.0,,2,1.0,0.4204268380017311,go,0.2,0.701,1.7009999999999998,1.0,Scanner,R,1.0,2019_Sep_06_1045,SST,3.0.7,60.03689807657106,,
go,sst_images/Right_Arrow.bmp,None,2,1480.0,None,0.0,11.0,11.0,11.0,,1,0.0,0.4065576860011788,go,0.2,1.48,2.48,1.0,Scanner,R,1.0,2019_Sep_06_1045,SST,3.0.7,60.03689807657106,,
go,sst_images/Left_Arrow.bmp,None,1,935.0,None,0.0,12.0,12.0,12.0,,1,1.0,0.4471093829997699,go,0.2,0.935,1.935,1.0,Scanner,R,1.0,2019_Sep_06_1045,SST,3.0.7,60.03689807657106,,
go,sst_images/Right_Arrow.bmp,None,2,1533.0,None,0.0,13.0,13.0,13.0,,2,1.0,0.5354711149993818,go,0.2,1.5330000000000001,2.533,1.0,Scanner,R,1.0,2019_Sep_06_1045,SST,3.0.7,60.03689807657106,,
go,sst_images/Left_Arrow.bmp,None,1,747.0,None,0.0,14.0,14.0,14.0,,1,1.0,0.4192977319980855,go,0.2,0.747,1.747,1.0,Scanner,R,1.0,2019_Sep_06_1045,SST,3.0.7,60.03689807657106,,
go,sst_images/Left_Arrow.bmp,None,1,1758.0,None,0.0,15.0,15.0,15.0,,1,1.0,0.5611542990009184,go,0.2,1.758,2.758,1.0,Scanner,R,1.0,2019_Sep_06_1045,SST,3.0.7,60.03689807657106,,
go,sst_images/Left_Arrow.bmp,None,1,818.0,None,0.0,16.0,16.0,16.0,,1,1.0,0.5690291380014969,go,0.2,0.818,1.818,1.0,Scanner,R,1.0,2019_Sep_06_1045,SST,3.0.7,60.03689807657106,,
go,sst_images/Right_Arrow.bmp,None,2,833.0,None,0.0,17.0,17.0,17.0,,2,1.0,0.4934112019982422,go,0.2,0.833,1.8330000000000002,1.0,Scanner,R,1.0,2019_Sep_06_1045,SST,3.0.7,60.03689807657106,,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,1248.0,None,0.0,18.0,18.0,18.0,,None,1.0,,stop,0.25,1.248,2.248,1.0,Scanner,R,1.0,2019_Sep_06_1045,SST,3.0.7,60.03689807657106,,
go,sst_images/Left_Arrow.bmp,None,1,1081.0,None,0.0,19.0,19.0,19.0,,1,1.0,0.4615315080009168,go,0.25,1.081,2.081,1.0,Scanner,R,1.0,2019_Sep_06_1045,SST,3.0.7,60.03689807657106,,
go,sst_images/Left_Arrow.bmp,None,1,872.0,None,0.0,20.0,20.0,20.0,,1,1.0,0.6032157020017621,go,0.25,0.872,1.872,1.0,Scanner,R,1.0,2019_Sep_06_1045,SST,3.0.7,60.03689807657106,,
go,sst_images/Right_Arrow.bmp,None,2,820.0,None,0.0,21.0,21.0,21.0,,2,1.0,0.4599664560009842,go,0.25,0.82,1.82,1.0,Scanner,R,1.0,2019_Sep_06_1045,SST,3.0.7,60.03689807657106,,
go,sst_images/Left_Arrow.bmp,None,1,702.0,None,0.0,22.0,22.0,22.0,,1,1.0,0.4123524610004097,go,0.25,0.7020000000000001,1.702,1.0,Scanner,R,1.0,2019_Sep_06_1045,SST,3.0.7,60.03689807657106,,
go,sst_images/Right_Arrow.bmp,None,2,833.0,None,0.0,23.0,23.0,23.0,,2,1.0,0.4120979819999775,go,0.25,0.833,1.8330000000000002,1.0,Scanner,R,1.0,2019_Sep_06_1045,SST,3.0.7,60.03689807657106,,
go,sst_images/Left_Arrow.bmp,None,1,795.0,None,0.0,24.0,24.0,24.0,,1,1.0,0.3695585069981462,go,0.25,0.795,1.795,1.0,Scanner,R,1.0,2019_Sep_06_1045,SST,3.0.7,60.03689807657106,,
go,sst_images/Right_Arrow.bmp,None,2,846.0,None,0.0,25.0,25.0,25.0,,2,1.0,0.3777627630006464,go,0.25,0.846,1.8459999999999999,1.0,Scanner,R,1.0,2019_Sep_06_1045,SST,3.0.7,60.03689807657106,,
go,sst_images/Right_Arrow.bmp,None,2,707.0,None,0.0,26.0,26.0,26.0,,2,1.0,0.6265350169996964,go,0.25,0.7070000000000001,1.707,1.0,Scanner,R,1.0,2019_Sep_06_1045,SST,3.0.7,60.03689807657106,,
