trial_type	arrow_1	arrow_2	corrAns	jitter	run_end_fixation	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	randomized TrialOrder	key_response.keys	key_response.corr	key_response.rt	trial_t.routineEndVal	ss_delay	iti_duration	SOA	participant	prac_or_scan	handedness	run	date	expName	psychopyVersion	frameRate	Unnamed: 26	onset	duration	amplitude
correct_go	sst_images/Left_Arrow.bmp	None	1	713	None	0	0	0	0	2.0	1	1	0.6959923949980293	go	0.05	0.713	1.713	1	Scanner	R	1	2019_Sep_06_1045	SST	3.0.7	60.03689807657106		0.051600000000000534	1	1
correct_stop	sst_images/Right_Arrow.bmp	sst_images/Stop_Arrow.bmp	none	767	None	0	1	1	1		None	1		stop	0.1	0.767	1.767	1	Scanner	R	1	2019_Sep_06_1045	SST	3.0.7	60.03689807657106		1.8003	1	1
correct_go	sst_images/Right_Arrow.bmp	None	2	928	None	0	2	2	2		2	1	0.3867304910017992	go	0.1	0.9279999999999999	1.9280000000000002	1	Scanner	R	1	2019_Sep_06_1045	SST	3.0.7	60.03689807657106		3.6122000000000014	1	1
correct_go	sst_images/Right_Arrow.bmp	None	2	735	None	0	3	3	3		2	1	0.4543734319995565	go	0.1	0.735	1.735	1	Scanner	R	1	2019_Sep_06_1045	SST	3.0.7	60.03689807657106		5.5623000000000005	1	1
correct_go	sst_images/Left_Arrow.bmp	None	1	1380	None	0	4	4	4		1	1	0.4679936829998042	go	0.1	1.38	2.38	1	Scanner	R	1	2019_Sep_06_1045	SST	3.0.7	60.03689807657106		7.329099999999997	1	1
correct_go	sst_images/Left_Arrow.bmp	None	1	769	None	0	5	5	5		1	1	0.5210780400011572	go	0.1	0.769	1.769	1	Scanner	R	1	2019_Sep_06_1045	SST	3.0.7	60.03689807657106		9.745999999999995	1	1
correct_stop	sst_images/Left_Arrow.bmp	sst_images/Stop_Arrow.bmp	none	884	None	0	6	6	6		None	1		stop	0.15000000000000002	0.884	1.884	1	Scanner	R	1	2019_Sep_06_1045	SST	3.0.7	60.03689807657106		11.562599999999996	1	1
correct_go	sst_images/Right_Arrow.bmp	None	2	732	None	0	7	7	7		2	1	0.43786190999890096	go	0.15000000000000002	0.732	1.732	1	Scanner	R	1	2019_Sep_06_1045	SST	3.0.7	60.03689807657106		13.479399999999998	1	1
correct_go	sst_images/Left_Arrow.bmp	None	1	847	None	0	8	8	8		1	1	0.5036571630007529	go	0.15000000000000002	0.847	1.847	1	Scanner	R	1	2019_Sep_06_1045	SST	3.0.7	60.03689807657106		15.246200000000002	1	1
correct_stop	sst_images/Left_Arrow.bmp	sst_images/Stop_Arrow.bmp	none	1278	None	0	9	9	9		None	1		stop	0.2	1.278	2.278	1	Scanner	R	1	2019_Sep_06_1045	SST	3.0.7	60.03689807657106		17.1458	1	1
correct_go	sst_images/Right_Arrow.bmp	None	2	701	None	0	10	10	10		2	1	0.4204268380017311	go	0.2	0.701	1.7009999999999998	1	Scanner	R	1	2019_Sep_06_1045	SST	3.0.7	60.03689807657106		19.4799	1	1
correct_go	sst_images/Left_Arrow.bmp	None	1	935	None	0	12	12	12		1	1	0.4471093829997699	go	0.2	0.935	1.935	1	Scanner	R	1	2019_Sep_06_1045	SST	3.0.7	60.03689807657106		23.737499999999997	1	1
correct_go	sst_images/Right_Arrow.bmp	None	2	1533	None	0	13	13	13		2	1	0.5354711149993818	go	0.2	1.5330000000000001	2.533	1	Scanner	R	1	2019_Sep_06_1045	SST	3.0.7	60.03689807657106		25.696799999999996	1	1
correct_go	sst_images/Left_Arrow.bmp	None	1	747	None	0	14	14	14		1	1	0.4192977319980855	go	0.2	0.747	1.747	1	Scanner	R	1	2019_Sep_06_1045	SST	3.0.7	60.03689807657106		28.263800000000003	1	1
correct_go	sst_images/Left_Arrow.bmp	None	1	1758	None	0	15	15	15		1	1	0.5611542990009184	go	0.2	1.758	2.758	1	Scanner	R	1	2019_Sep_06_1045	SST	3.0.7	60.03689807657106		30.040400000000005	1	1
correct_go	sst_images/Left_Arrow.bmp	None	1	818	None	0	16	16	16		1	1	0.5690291380014969	go	0.2	0.818	1.818	1	Scanner	R	1	2019_Sep_06_1045	SST	3.0.7	60.03689807657106		32.8309	1	1
correct_go	sst_images/Right_Arrow.bmp	None	2	833	None	0	17	17	17		2	1	0.4934112019982422	go	0.2	0.833	1.8330000000000002	1	Scanner	R	1	2019_Sep_06_1045	SST	3.0.7	60.03689807657106		34.6721	1	1
correct_stop	sst_images/Right_Arrow.bmp	sst_images/Stop_Arrow.bmp	none	1248	None	0	18	18	18		None	1		stop	0.25	1.248	2.248	1	Scanner	R	1	2019_Sep_06_1045	SST	3.0.7	60.03689807657106		36.5476	1	1
correct_go	sst_images/Left_Arrow.bmp	None	1	1081	None	0	19	19	19		1	1	0.4615315080009168	go	0.25	1.081	2.081	1	Scanner	R	1	2019_Sep_06_1045	SST	3.0.7	60.03689807657106		38.8403	1	1
